"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D4";"D_SOD-323";1;"1N5819WS";;;
2;"C2,C7,C9,C10,C19,C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"4.7uF";;;
3;"TP3";"TestPoint_Pad_D1.5mm";1;"32Khz";;;
4;"U1";"ESP32-C3-WROOM-02-N4";1;"ESP32-C3-WROOM-02-N4";;;
5;"Q2,Q3";"SOT-23";2;"BC817";;;
6;"C8,C4,C6,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
7;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
8;"U3";"SOT-23";1;"MCP1700-3302E_SOT23";;;
9;"R13";"R_0603_1608Metric";1;"1K";;;
10;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF 50V";;;
11;"R11";"R_0603_1608Metric";1;"0.47R";;;
12;"C17,C18";"CP_EIA-3528-21_Kemet-B";2;"220uF";;;
13;"R3";"R_0603_1608Metric";1;"3R";;;
14;"D5";"SP0503BAHTG";1;"SP0503BAHTG";;;
15;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"PCF8563T";;;
16;"Y1";"Q13FC1350000400-Crystal";1;"Crystal_Small";;;
17;"R2,R5,R12,R4";"R_0603_1608Metric";4;"10 K";;;
18;"C21,C20";"C_0603_1608Metric";2;"12 pF";;;
19;"JP1";"switch-MK-12C02-G020";1;"RESE";;;
20;"C14,C15";"C_0805_2012Metric";2;"10uF";;;
21;"J1";"AFC24-S24FIC-00";1;"AFC24-S24FIC-00";;;
22;"R7,R6";"R_0603_1608Metric";2;"5.1K";;;
23;"D1,D3,D2";"D_SOD-123";3;"MBR0530";;;
24;"C13";"C_0805_2012Metric";1;"100nF";;;
25;"R10";"R_0603_1608Metric";1;"3.6K";;;
26;"C16";"CP_EIA-3528-21_Kemet-B";1;"C_Polarized 100uF";;;
27;"R1";"R_0603_1608Metric";1;"10K";;;
28;"J4";"FH34SRJ-6S-0.5SH50-Hirose";1;"Conn_01x06_Female";;;
29;"R9,R8";"R_0603_1608Metric";2;"4.7K";;;
30;"U2";"CP2102-QFN50P500X500X80-29N-D";1;"CP2102N-A02-GQFN28R";;;
31;"R15";"R_0402_1005Metric";1;"47K";;;
32;"J5";"MOLEX-I2C-532530470";1;"Groove sensor";;;
33;"Q1";"SOT-323_SC-70";1;"Si1308";;;
34;"C12";"C_0603_1608Metric";1;"4.7uF";;;
35;"L1";"SWPA4030S1R0NT";1;"10uH";;;
36;"R14";"R_0201_0603Metric";1;"22K";;;
